Origen,Aguascalientes,Mexicali,La Paz,Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Durango,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Toluca,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala,Xalapa,Mérida,Zacatecas
Oaxaca de Juárez,11.75,36.58,23.42,10.75,6.58,23.17,6.25,15.08,11.58,16.50,9.75,5.17,6.75,11.92,6.75,8.83,5.75,14.50,15.08,0.00,4.75,8.75,13.33,10.75,20.33,28.42,7.00,11.67,5.17,4.83,12.83,13.00
Puebla,8.50,32.83,19.92,12.00,8.83,19.33,2.33,11.42,8.58,12.83,6.58,4.33,2.83,8.42,3.25,5.58,2.33,11.17,11.42,4.75,0.00,5.00,15.33,7.58,16.75,24.67,8.42,8.50,0.92,3.08,13.67,9.08
Santiago de Querétaro,4.33,28.83,16.00,15.17,13.00,15.58,4.00,8.67,6.50,8.67,2.25,6.00,3.75,5.33,3.42,2.75,4.42,8.00,8.42,8.75,5.00,0.00,18.75,4.00,12.67,20.67,12.33,6.33,4.67,6.50,16.42,5.75
Chetumal,21.83,44.67,33.92,4.83,8.67,30.58,16.75,22.00,23.50,26.00,20.08,17.33,16.25,23.08,17.50,19.75,16.83,25.50,21.33,13.33,15.33,18.75,0.00,20.08,30.08,37.00,8.25,18.42,15.42,13.50,5.33,22.58
San Luis Potosí,2.92,26.50,14.42,16.33,15.00,13.00,6.17,6.25,7.25,7.25,2.75,8.50,5.58,5.17,6.00,4.75,6.83,6.92,6.75,10.75,7.58,4.00,20.08,0.00,10.67,18.33,14.08,4.50,7.17,8.25,17.33,3.75
Culiacán,9.08,17.08,5.25,26.25,25.00,7.50,15.25,9.75,10.83,5.08,11.25,16.75,15.08,9.17,14.75,12.67,15.67,7.50,10.75,20.33,16.75,12.67,30.08,10.67,0.00,8.75,24.17,12.50,16.42,17.92,27.00,8.58
Hermosillo,17.25,8.67,8.83,33.08,32.75,8.00,23.25,15.58,19.17,12.42,19.25,25.00,22.92,17.67,22.83,20.83,23.67,15.25,16.33,28.42,24.67,20.67,37.00,18.33,8.75,0.00,31.67,19.17,24.33,25.58,33.42,16.00
Villahermosa,15.67,39.75,27.75,5.58,2.92,25.75,10.08,17.08,16.75,20.17,13.75,10.42,9.83,16.50,10.75,13.08,10.00,19.08,16.75,7.00,8.42,12.33,8.25,14.08,24.17,31.67,0.00,13.42,8.58,7.58,8.08,16.58
Ciudad Victoria,6.50,27.00,16.58,14.50,14.67,13.00,8.00,4.67,10.33,8.92,6.33,10.33,6.92,8.83,8.33,8.33,8.58,9.50,4.33,11.67,8.50,6.33,18.42,4.50,12.50,19.17,13.42,0.00,8.00,8.33,15.08,6.25
Tlaxcala,8.17,32.50,19.75,12.00,9.08,19.00,2.08,11.00,8.58,12.50,6.25,4.25,2.25,8.83,3.17,5.42,2.42,11.00,11.00,5.17,0.92,4.67,15.42,7.17,16.42,24.33,8.58,8.00,0.00,3.00,13.58,8.83
Xalapa,9.17,33.67,21.33,10.00,8.17,19.92,4.17,11.58,10.67,13.83,8.08,6.00,4.08,10.25,5.00,7.58,4.42,12.75,11.42,4.83,3.08,6.50,13.50,8.25,17.92,25.58,7.58,8.33,3.00,0.00,11.58,10.33
Mérida,19.17,41.00,31.00,3.33,8.83,26.92,14.83,18.42,21.58,22.92,17.67,16.17,14.08,20.75,15.67,17.75,15.17,22.92,17.67,12.83,13.67,16.42,5.33,17.33,27.00,33.42,8.08,15.08,13.58,11.58,0.00,19.67
Zacatecas,2.25,24.17,11.92,18.75,17.42,11.00,8.25,5.75,6.92,4.50,4.25,9.92,8.33,4.42,8.25,6.33,8.83,4.83,6.75,13.00,9.08,5.75,22.58,3.75,8.58,16.00,16.58,6.25,8.83,10.33,19.67,0.00
